"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1775766219871908121","Thu Apr 04 06:03:53 +0000 2024","0","Se buruk buruknya bandara ternate lebih buruk pelayanan bandara Luwuk","1775766219871908121","","","in","Third rock from the Sun","0","1","0","https://twitter.com/Audi_Tri_L/status/1775766219871908121","1624518348","Audi_Tri_L"
"1775479285807210633","Wed Apr 03 11:03:43 +0000 2024","0","Asik cair trims Pemda Luwuk. Yuk satu bulan sisanya bisa cair lagi gausa fafifu ","1775479285807210633","","","in","","0","0","0","https://twitter.com/bimantaraL/status/1775479285807210633","318411580","bimantaraL"
"1775378415144824957","Wed Apr 03 04:22:53 +0000 2024","0","Mudik ke kota orang wkwk.. mudah mudah jadi mudik terakhir ke Luwuk.. next bisa mudik terus bareng org rumah","1775378415144824957","","","in","","0","0","0","https://twitter.com/ellyafiani/status/1775378415144824957","99831052","ellyafiani"
"1774846670934831402","Mon Apr 01 17:09:56 +0000 2024","0","Manifesting bisa ke Luwuk Banggai suatu hari nanti. Bismillah yakin ","1774846670934831402","","","in","six feet under the stars","0","0","0","https://twitter.com/angellabarbier/status/1774846670934831402","167487983","angellabarbier"
"1774817587886731677","Mon Apr 01 15:14:22 +0000 2024","0","liat ig liat pantai di Banggai Laut tp nyebrang dr Luwuk pake kapal besar aja 4-6jam","1774817587886731677","","","in","Indonesia","0","2","0","https://twitter.com/mieacehpedes/status/1774817587886731677","218445618","mieacehpedes"
"1774419991569498555","Sun Mar 31 12:54:27 +0000 2024","0","Mo pulang luwuk malah ga punya duit anjay","1774419991569498555","","","in","","0","0","0","https://twitter.com/culiculiii/status/1774419991569498555","1058980665788575744","culiculiii"
"1774400466664960489","Sun Mar 31 11:36:52 +0000 2024","42","Senenge ko manutan @PSSleman Tiket opo ra luwuk nek nunggu tekan mei.","1774400466664960489","","","in","Sleman, Yogyakarta","0","0","0","https://twitter.com/Fantastico_1976/status/1774400466664960489","996856837440860160","Fantastico_1976"
"1773694971788267681","Fri Mar 29 12:53:29 +0000 2024","1","ini capekk kayak tidak mo ilang² blum habis capek dari gorontalo so lanjut k luwuk di luwuk sana mari urus ini itu ya Allah maapkan selalu mengeluh ‍️","1773694971788267681","","","in","Indonesia","0","0","0","https://twitter.com/wndaapumpkins/status/1773694971788267681","613586343","wndaapumpkins"
"1773408645335912939","Thu Mar 28 17:55:44 +0000 2024","0","mukaku tahun 2011 masih luwuk bopung abis. bisa-bisanya tahun segitu IU Suzy sama Eunbin udah bening banget ga keliatan jametnya sama sekali ","1773408645335912939","","","in","","0","0","0","https://twitter.com/thessanolimit/status/1773408645335912939","931694269","thessanolimit"
"1772518841299398853","Tue Mar 26 06:59:58 +0000 2024","0","PAK JOKOWI KE LUWUK TUH KAYA .. KNP GA PAS GW ISHIP SIH? ","1772518841299398853","","","in","","0","1","0","https://twitter.com/bimantaraL/status/1772518841299398853","318411580","bimantaraL"
"1771861316925329444","Sun Mar 24 11:27:12 +0000 2024","0","Sailing from luwuk sulteng to weda halmahera","1771861316925329444","","","in","bekonang","0","0","0","https://twitter.com/bayu_kurnia19/status/1771861316925329444","591388806","bayu_kurnia19"
"1771686138316460098","Sat Mar 23 23:51:06 +0000 2024","0","Here we go again luwuk dgn gempa nya","1771686138316460098","","","in","DN","0","0","0","https://twitter.com/sgitardiansyh/status/1771686138316460098","2936674712","sgitardiansyh"
"1770038179120173327","Tue Mar 19 10:42:42 +0000 2024","0","selama ngeba penasaran bgt ada gsi tmn ba yg dri luwuk banggai jg? #zonauang","1770038179120173327","","","in","FASTRESPON ON WHATSAPP!","0","0","0","https://twitter.com/chokokitty_/status/1770038179120173327","1295245376954306560","chokokitty_"
"1769867061847855345","Mon Mar 18 23:22:44 +0000 2024","1","Mimpiin org yg ga pengen diinget. Mana samperin sampe ke luwuk lagi","1769867061847855345","","","in","","0","0","0","https://twitter.com/chopperpen/status/1769867061847855345","1727495548780134401","chopperpen"
"1769237248653099474","Sun Mar 17 05:40:05 +0000 2024","0","Luwuk beserta uap lautnya","1769237248653099474","","","in","kos macan yang ada roftoopnya","0","0","0","https://twitter.com/PriyaRmdhn_/status/1769237248653099474","1153245521974190081","PriyaRmdhn_"
"1769223798585544784","Sun Mar 17 04:46:38 +0000 2024","0","Liat di tiktok ada yg dibangunin sahur sama anak-anak kompleksnya aku jadi kangen puasa di Luwuk yg tiap sahur dibangunin gt jugakkk sama anak-anak kompleksku. Yg awalnya nyebut aku doang hari hari berikutnya udah bawa mama papaku juga ","1769223798585544784","","","in","","0","0","0","https://twitter.com/culiculiii/status/1769223798585544784","1058980665788575744","culiculiii"
